student_id,age,gender,city,program,study_mode,learning_platform,attendance_percent,weekly_study_hours,assignment_score,quiz_score,previous_grade,forum_posts,project_submitted,passed
STU0061,24,male,Wroclaw,Informatics,full-time,Teams,35,13.2,60.7,67.8,3.3,11,yes,yes
STU0062,24,female,Poznan,Economics,full-time,Google Classroom,59,5.4,51.4,65.3,4.7,9,yes,yes
STU0063,19,other,Poznan,Management,full-time,Teams,56,5.1,76.4,33.2,2.7,10,yes,yes
STU0064,31,male,Warsaw,Finance,full-time,None,47,14.0,75.9,62.2,3.0,8,yes,yes
STU0065,28,female,Wroclaw,Finance,part-time,None,89,6.3,69.4,61.0,4.0,4,yes,yes
STU0066,23,other,Gdansk,Data Analytics,part-time,Google Classroom,54,0.1,34.3,16.6,2.3,6,yes,yes
STU0067,26,other,,Management,full-time,Google Classroom,69,17.1,100,95.3,3.8,6,no,yes
STU0068,30,male,Warsaw,Informatics,part-time,None,86,7.2,77.8,50.3,3.5,6,yes,yes
STU0069,24,female,Lodz,Finance,part-time,Teams,36,13.2,60.9,80.0,2.5,12,yes,yes
STU0070,25,male,Lodz,Informatics,full-time,None,40,12.1,87.5,66.2,4.3,8,no,yes
STU0071,22,female,Krakow,Management,part-time,Google Classroom,52,8.9,60.1,75.1,2.7,2,no,yes
STU0072,23,female,Poznan,Management,full-time,None,65,7.8,76.8,47.3,2.6,12,yes,yes
STU0073,28,Female,Wroclaw,Finance,full-time,Teams,62,3.8,58.5,44.7,4.0,4,yes,yes
STU0074,31,female,Krakow,Informatics,part-time,Moodle,72,13.2,65.7,70.8,3.2,8,yes,yes
STU0075,20,other,Warsaw,Economics,full-time,Google Classroom,39,14.4,69.2,77.7,3.2,8,yes,yes
STU0076,23,other,Poznan,Informatics,part-time,Moodle,40,8.8,66.6,35.0,3.8,5,yes,yes
STU0077,31,other,Wroclaw,Economics,part-time,Moodle,66,12.2,94.1,60.8,3.6,11,yes,yes
STU0078,27,female,Poznan,Management,full-time,Moodle,50,10.9,67.9,43.1,4.7,9,yes,yes
STU0079,20,other,Gdansk,Management,part-time,Moodle,68,16.3,89.9,89.9,2.4,12,yes,yes
STU0080,23,male,Krakow,Finance,part-time,,74,13.8,100,67.3,4.5,18,yes,yes
STU0081,26,male,Gdansk,Finance,part-time,Teams,95,10.5,83.7,59.0,2.7,6,yes,yes
STU0082,19,other,Krakow,Data Analytics,full-time,Google Classroom,92,13.5,92.8,92.6,2.8,7,yes,yes
STU0083,26,other,Poznan,Management,part-time,Teams,85,1.3,61.2,43.5,3.7,2,yes,yes
STU0084,30,male,Poznan,Informatics,full-time,Moodle,100,15.5,100,98.8,4.1,7,yes,yes
STU0085,20,other,Gdansk,Informatics,part-time,None,89,3.2,62.3,83.1,2.3,3,yes,yes
STU0086,21,other,Warsaw,Economics,part-time,Teams,72,12.9,90.8,54.8,3.5,12,yes,yes
STU0087,30,female,poznan,Finance,full-time,Moodle,69,8.9,38.6,40.1,3.5,4,no,no
STU0088,21,other,Krakow,Finance,part-time,Moodle,55,14.0,90.2,84.0,2.5,14,yes,yes
STU0089,25,other,Poznan,Informatics,full-time,Teams,60,13.9,77.9,84.1,2.3,16,yes,yes
STU0090,24,female,Lodz,Management,part-time,None,53,11.5,89.4,79.7,4.5,10,yes,yes
STU0091,19,male,Lodz,Informatics,part-time,Moodle,67,17.0,91.0,87.4,3.7,12,no,yes
STU0092,22,female,Krakow,Finance,part-time,Teams,82,3.4,62.5,27.1,4.5,4,yes,yes
STU0093,22,female,Lodz,Management,full-time,None,60,3.7,55.1,15.5,2.6,6,yes,yes
STU0094,29,female,Wroclaw,Economics,full-time,None,36,17.9,68.6,99.9,4.2,10,,yes
STU0095,26,male,Poznan,Economics,full-time,Google Classroom,96,10.1,76.4,85.6,2.6,12,no,yes
STU0096,27,male,Lodz,Informatics,part-time,Google Classroom,77,2.3,49.0,32.6,2.5,13,no,yes
STU0097,20,female,Warsaw,Economics,full-time,Google Classroom,78,9.8,75.0,64.5,2.7,11,no,no
STU0098,23,other,Wroclaw,Informatics,part-time,Teams,45,15.8,90.3,88.4,4.9,13,yes,yes
STU0099,28,male,Poznan,Economics,full-time,Moodle,52,8.3,56.3,41.7,4.9,9,yes,yes
STU0100,24,male, WROCLAW ,Management,full-time,Moodle,79,8.1,76.2,61.8,4.0,0,yes,yes
STU0101,29,other,Gdansk,Management,full-time,Google Classroom,62,12.0,82.8,90.5,3.5,9,yes,yes
STU0102,23,male,Poznan,Informatics,part-time,Teams,92,14.3,94.3,79.9,3.3,7,yes,yes
STU0103,24,other,Gdansk,Management,full-time,Teams,66,4.6,43.7,40.2,4.2,8,no,no
STU0104,21,other,Lodz,Informatics,full-time,Teams,67,15.1,91.6,75.9,5.0,12,yes,yes
STU0105,23,female,Wroclaw,Economics,part-time,Google Classroom,100,0.2,58.9,56.6,4.4,4,Yes,yes
STU0106,23,other,Gdansk,Informatics,full-time,Teams,60,11.7,72.8,64.7,3.4,8,yes,yes
STU0107,21,female,Krakow,Economics,full-time,Teams,56,17.6,100,84.3,4.7,15,yes,yes
STU0108,19,other,Warsaw,Economics,full-time,None,56,2.2,31.3,32.5,2.1,8,no,yes
STU0109,29,other,Poznan,Management,full-time,Google Classroom,43,4.9,50.1,38.3,2.5,0,yes,yes
STU0110,29,other,Wroclaw,Finance,full-time,None,47,12.1,62.1,79.6,3.7,12,yes,yes
STU0111,24,other,Wroclaw,Economics,full-time,Moodle,61,17.5,97.8,99.4,2.6,16,no,yes
STU0112,25,other,Lodz,Economics,full-time,Teams,81,10.5,74.9,77.0,4.2,14,yes,
STU0113,23,male,Wroclaw,Finance,full-time,Moodle,58,16.7,76.4,70.3,4.1,12,yes,yes
STU0114,31,female,Krakow,Finance,full-time,Teams,58,0.8,32.8,56.2,2.6,7,yes,yes
STU0115,31,female,Wroclaw,Economics,part-time,Moodle,47,8.5,71.8,37.8,2.9,4,yes,yes
STU0116,27,female,Poznan,Economics,part-time,None,40,14.2,77.1,100,3.5,12,yes,yes
STU0117,25,female,Warsaw,Data Analytics,full-time,None,48,10.2,65.0,56.7,4.9,12,yes,yes
STU0118,26,female,Krakow,Management,part-time,None,90,1.3,52.0,51.9,4.0,1,yes,yes
STU0119,21,male,Wroclaw,Economics,part-time,google classroom ,85,1.1,54.4,52.0,2.7,9,yes,yes
STU0120,31,female,Poznan,Economics,full-time,Google Classroom,61,1.6,46.7,42.2,2.4,10,yes,yes
STU0121,19,other,Warsaw,Economics,full-time,Moodle,51,9.5,79.6,55.0,2.8,13,no,yes
STU0122,23,other,Gdansk,Informatics,full-time,Teams,87,12.5,76.7,91.5,4.9,17,no,yes
STU0123,19,male,Poznan,Data Analytics,full-time,Google Classroom,79,6.8,76.6,75.5,3.3,9,no,yes
STU0124,22,other,Krakow,Finance,part-time,Moodle,68,17.7,100,60.5,4.5,19,yes,yes
STU0125,20,female,Warsaw,Finance,part-time,None,80,10.0,80.1,75.1,3.0,9,yes,yes
STU0126,24,other,Lodz,Finance,full-time,None,62,4.4,54.0,48.7,2.8,9,yes,yes
STU0009,20,other,Krakow,Data Analytics,part-time,Teams,48,3.9,64.2,38.9,3.2,3,no,no
STU0128,25,male,Lodz,Informatics,part-time,Teams,38,1.8,29.4,43.5,3.6,8,yes,no
STU0129,30,female,Wroclaw,Economics,part-time,Teams,91,16.6,100,89.9,4.0,22,yes,yes
STU0130,22,female,Krakow,Economics,full-time,Google Classroom,62,0.8,49.7,34.7,3.6,0,yes,yes
STU0131,19,female,Warsaw,Data Analytics,part-time,Moodle,46,4.2,42.7,53.2,2.7,5,yes,YES
STU0132,29,female,Warsaw,Finance,full-time,Teams,55,12.9,99.9,81.5,4.4,16,yes,yes
STU0133,25,other,Gdansk,Finance,full-time,Google Classroom,145,13.9,88.5,58.7,3.0,8,yes,yes
STU0134,22,male,Poznan,Management,full-time,Moodle,93,4.0,72.0,30.6,2.4,7,yes,yes
STU0135,31,female,Krakow,Management,full-time,Moodle,41,3.5,46.7,14.9,3.3,11,yes,yes
STU0136,19,male,Warsaw,Data Analytics,part-time,None,81,12.5,94.9,77.5,3.1,11,yes,yes
STU0137,26,female,Lodz,Economics,part-time,Moodle,60,6.3,36.0,47.4,4.8,4,yes,yes
STU0138,25,female,Warsaw,Economics,full-time,Teams,74,-3,100,97.1,2.1,14,yes,yes
STU0139,22,other,Gdansk,Management,part-time,Moodle,56,9.2,58.1,39.2,4.9,5,yes,yes
STU0140,29,male,Warsaw,Management,part-time,Teams,70,42,60.6,58.0,2.1,5,yes,yes
STU0141,21,other,Lodz,Economics,part-time,Google Classroom,93,10.6,72.1,69.8,4.3,75,yes,yes
STU0142,23,female,Gdansk,Data Analytics,full-time,Moodle,82,17.6,132,100,2.1,15,yes,yes
STU0143,30,male,Gdansk,Management,full-time,Google Classroom,56,9.2,68.1,46.7,2.8,7,yes,yes
STU0144,19,female,Krakow,Economics,part-time,None,66,5.8,57.6,55.0,4.7,2,yes,yes
STU0145,21,female,Warsaw,Informatics,part-time,Moodle,36,8.8,76.8,-10,3.7,4,no,yes
STU0146,30,female,Poznan,Data Analytics,part-time,Google Classroom,54,16.6,82.9,87.2,4.9,4,yes,yes
STU0147,20,other,Krakow,Informatics,full-time,None,77,3.4,54.7,17.3,6.5,9,yes,no
STU0148,28,other,Gdansk,Informatics,full-time,Moodle,94,9.2,67.5,69.6,4.1,7,yes,yes
STU0149,25,male,Lodz,Economics,full-time,None,49,14.2,90.2,65.0,4.4,-2,yes,yes
STU0150,22,other,Krakow,Informatics,full-time,Teams,49,11.3,82.2,80.2,4.6,6,yes,yes
